Time, Species, ClimateRegion, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
1, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
1, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
1, TurkeyOak, ClimateRegion3,1.00,1.00,0.16,0.06
2, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
2, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
2, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
3, BlueJackOak, ClimateRegion3,1.00,1.00,0.16,0.06
3, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
3, TurkeyOak, ClimateRegion3,1.00,1.00,0.16,0.06
4, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
4, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
4, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
5, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
5, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
5, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
6, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
6, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
6, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
7, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
7, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
7, TurkeyOak, ClimateRegion3,1.00,1.00,0.16,0.06
8, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
8, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
8, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
9, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
9, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
9, TurkeyOak, ClimateRegion3,1.00,1.00,0.16,0.06
10, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
10, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
10, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
11, BlueJackOak, ClimateRegion3,1.00,1.00,0.16,0.06
11, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
11, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
12, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
12, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
12, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
13, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
13, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
13, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
14, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
14, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
14, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
15, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
15, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
15, TurkeyOak, ClimateRegion3,1.00,1.00,0.16,0.06
16, BlueJackOak, ClimateRegion3,1.00,1.00,0.16,0.06
16, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
16, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
17, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
17, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
17, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
18, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
18, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
18, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
19, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
19, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
19, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
20, BlueJackOak, ClimateRegion3,0.00,0.00,0.00,0.00
20, LongPine, ClimateRegion3,0.00,0.00,0.00,0.00
20, TurkeyOak, ClimateRegion3,0.00,0.00,0.00,0.00
