"year","month","temperature","precipitation"
2001,3,-1.1,16.96
2001,4,7,3.16
2001,5,13.8,4.92
2001,6,19,15.3
2001,7,18.5,7.03
2001,8,21.2,5.32
2001,9,15.5,11.45
2001,10,10.3,2.07
2001,11,5.9,2.75
2001,12,0.8,6.48
2002,1,-1,5.27
2002,2,-1,5.62
2002,3,1.4,8.49
2002,4,7.9,9.85
2002,5,11.4,12.31
2002,6,16.8,11.53
2002,7,20.8,6.65
2002,8,20.4,11.76
2002,9,17.1,8.72
2002,10,7.6,7.45
2002,11,2.4,12.78
2002,12,-3.1,10.69
2003,1,-8.8,8.1
2003,2,-6.4,8.2
2003,3,0.8,10.27
2003,4,5.1,9.63
2003,5,11.5,14.48
2003,6,17.2,15.24
2003,7,20.6,3.64
2003,8,20.5,9.86
2003,9,15.8,13.93
2003,10,8.1,14.31
2003,11,4.5,8
2003,12,-1.5,15.39
2004,1,-10.4,2.96
2004,2,-3.6,3.63
2004,3,1.3,8.28
2004,4,7.3,15.36
2004,5,13.8,11.45
2004,6,16.7,6.99
2004,7,19.5,12.64
2004,8,19.3,8.7
2004,9,16,21.35
2004,10,8.9,6.18
2004,11,3.7,8.85
2004,12,-2.5,9.88
2005,1,-6.7,11.14
2005,2,-2.7,6.47
2005,3,-1.3,11.99
2005,4,8.6,14.41
2005,5,9.9,9.1
2005,6,19.3,14.02
2005,7,20.7,12.33
2005,8,20.9,8.69
2005,9,17.1,6.15
2005,10,9.7,29.73
2005,11,4.8,10.81
2005,12,-3.4,7.74
2006,1,-0.7,10.43
2006,2,-3.8,5.07
2006,3,0.9,1.27
2006,4,8.1,4.16
2006,5,12.3,11.47
2006,6,17.8,14.12
2006,7,21.9,9.15
2006,8,18.8,12.93
2006,9,14.6,7.49
2006,10,8.8,16.85
2006,11,6.6,11.71
2006,12,1.5,4.88
2007,1,-3.1,7.86
2007,2,-7.2,4.68
2007,3,-0.2,10.82
2007,4,5.3,16.03
2007,5,14.1,10.23
2007,6,17.4,6.45
2007,7,19.8,16.74
2007,8,19.6,2.95
2007,9,16.3,7.56
2007,10,12.4,11.75
2007,11,2.2,9.1
2007,12,-3.7,9.7
2008,1,-3.4,7.25
2008,2,-3.8,26.74
2008,3,-0.3,13.92
2008,4,8.5,11.12
2008,5,11.7,5.71
2008,6,18.4,10.59
2008,7,21,22.53
2008,8,18.2,4.71
2008,9,15.9,19.76
2008,10,8.5,6.26
2008,11,3,9.11
2008,12,-2.2,18.82
2009,1,-8.2,7.85
2009,2,-2.9,3.64
2009,3,0.8,7.53
2009,4,8.4,8.32
2009,5,13.3,12.98
2009,6,16.1,18.2
2009,7,18.5,25.36
2009,8,20.1,8.43
2009,9,14.4,3.37
2009,10,7.8,16.89
2009,11,6,6.14
2009,12,-3.4,9.04
2010,1,-4.8,6.81
2010,2,-3.3,8.66
2010,3,4.3,18.9
2010,4,9.7,3.03
2010,5,15.3,5.85
2010,6,18.5,10.47
2010,7,22,7.85
2010,8,20.1,8.23
2010,9,17,7.62
2010,10,9.3,15.38
2010,11,3.6,10.34
2010,12,-3.9,7.64
2011,1,-6.5,6.19
2011,2,-4.2,10.37
2011,3,0.3,14.47
2011,4,7.6,13.63
2011,5,14.2,9.26
2011,6,17.3,13.44
2011,7,21.7,5.78
2011,8,19.6,27.11
2011,9,17,21.41
2011,10,9.5,17.71
2011,11,6.8,10.09
2011,12,1,12.47
2012,1,-2.7,5.86
2012,2,-0.5,2.7
2012,3,5.5,2.37
2012,4,8.2,5.6
2012,5,15.2,9.36
2012,6,17.2,8.37
2012,7,21.7,3.94
2012,8,20.9,13.94
2012,9,15.3,14.01
2012,10,10.7,11.59
2012,11,2.3,1.38
2012,12,-0.2,9.18
2013,1,-3.8,5.93
2013,2,-3.6,6.26
2013,3,0.1,7.36
2013,4,6.8,5.24
2013,5,13.6,14.16
2013,6,17.9,24.43
2013,7,22.5,5.4
2013,8,18.8,13.7
2013,9,14.7,9.01
2013,10,10,6.27
2013,11,2,8.32
2013,12,-2.8,8.65
2014,1,-6.4,8.38
2014,2,-5.7,9.06
2014,3,-2.8,11.6
2014,4,6.6,12.8
2014,5,13,8.18
2014,6,18.2,5.71
2014,7,20.2,22.88
2014,8,18.4,5.46
2014,9,15.3,4.06
2014,10,10.5,18.97
2014,11,2.3,9.78
